Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20220716;14;19200;18473,463
20220716;15;18950;18121,488
20220716;16;18700;17923,338
20220716;17;18500;17870,775
20220716;18;18350;18217,800
20220716;19;18200;17633,225
20220716;20;18200;17736,675
20220716;21;18200;17723,638
20220716;22;18200;17596,238
20220716;23;17850;16851,625
20220716;24;16600;15730,550
20220717;1;15200;14575,000
20220717;2;14300;14065,188
20220717;3;13800;13692,813
20220717;4;13500;13453,225
20220717;5;13300;13025,888
20220717;6;13000;12743,338
20220717;7;13650;13130,238
20220717;8;14500;13868,838
20220717;9;15450;14718,875
20220717;10;16300;15307,800
20220717;11;16650;15540,925
20220717;12;16700;15849,700
20220717;13;16700;15771,525
20220717;14;16700;16059,288
20220717;15;16400;15926,863
20220717;16;16300;15635,488
20220717;17;16350;15455,950
20220717;18;16550;15590,625
20220717;19;16750;16042,288
20220717;20;16800;16453,925
20220717;21;16800;16768,950
20220717;22;17100;17062,513
20220717;23;17150;16683,738
20220717;24;16000;15604,625
20220718;1;14950;14714,550
20220718;2;14200;14275,725
20220718;3;13950;14043,425
20220718;4;13750;14090,613
20220718;5;13850;14108,538
20220718;6;15450;14635,038
20220718;7;18900;17209,438
20220718;8;20700;19306,600
20220718;9;21750;20746,188
20220718;10;22000;20983,400
20220718;11;22300;20822,825
20220718;12;22500;21020,938
20220718;13;22700;21115,950
20220718;14;22700;21104,963
20220718;15;22250;20876,900
20220718;16;22100;20925,438
20220718;17;21900;20832,750
20220718;18;21750;20794,438
20220718;19;21600;20846,050
20220718;20;21650;20925,988
20220718;21;21550;20996,050
20220718;22;21300;20734,563
20220718;23;20350;19516,250
20220718;24;18800;18116,500
20220719;1;17700;16884,200
20220719;2;17000;16332,675
20220719;3;16500;15923,088
20220719;4;16450;15840,263
20220719;5;16350;15736,638
20220719;6;17500;15958,263
20220719;7;20450;18037,988
20220719;8;22150;20047,338
20220719;9;22950;21347,238
20220719;10;23050;21825,513
20220719;11;23250;21842,588
20220719;12;23600;22112,100
20220719;13;23650;22267,563
20220719;14;23750;22058,575
20220719;15;23450;21844,225
20220719;16;23450;21882,925
20220719;17;23350;21748,250
20220719;18;23150;21694,075
20220719;19;22850;21531,213
20220719;20;22800;21606,088
20220719;21;22600;21613,325
20220719;22;22350;21337,950
20220719;23;21450;20074,888
20220719;24;19900;18564,538
20220720;1;17900;17229,463
20220720;2;17200;16411,750
20220720;3;16700;16127,450
20220720;4;16650;15981,188
20220720;5;16350;15813,813
20220720;6;17500;16088,400
20220720;7;20650;18279,375
20220720;8;22350;20459,775
20220720;9;23250;21747,963
20220720;10;23350;22075,488
20220720;11;23550;22078,850
20220720;12;23600;22436,488
20220720;13;23650;22593,325
20220720;14;23750;22499,113
20220720;15;23450;22044,563
20220720;16;23450;22196,775
20220720;17;23350;22151,413
20220720;18;23150;22117,163
20220720;19;22850;22000,563
20220720;20;22800;21953,875
20220720;21;22600;21890,675
20220720;22;22350;21577,650
20220720;23;21450;20257,175
20220720;24;19900;18683,125
20220721;1;17700;17367,813
20220721;2;17000;16569,250
20220721;3;16500;16101,463
20220721;4;16450;16077,163
20220721;5;16150;15933,625
20220721;6;17300;16195,775
20220721;7;20450;18389,125
20220721;8;21950;20673,338
20220721;9;22850;21948,088
20220721;10;22950;22287,525
20220721;11;23150;22240,775
20220721;12;23200;22650,363
20220721;13;23250;22683,938
20220721;14;23350;22507,138
20220721;15;23050;22390,375
20220721;16;23050;22554,638
20220721;17;22950;22571,863
20220721;18;22750;22422,400
20220721;19;22450;22244,463
20220721;20;22400;22211,613
20220721;21;22200;22087,563
20220721;22;21950;21799,938
20220721;23;21050;20530,075
20220721;24;19500;18948,900
20220722;1;17400;17706,000
20220722;2;16700;16841,413
20220722;3;16200;16515,538
20220722;4;16150;16388,075
20220722;5;15850;16373,188
20220722;6;17000;16536,363
20220722;7;20150;18763,138
20220722;8;21850;20802,513
20220722;9;22750;21956,688
20220722;10;22850;22292,375
20220722;11;23050;22442,700
20220722;12;23100;22749,388
20220722;13;23150;23078,088
20220722;14;23250;22921,188
20220722;15;22950;22712,513
20220722;16;22950;22722,500
20220722;17;22850;22593,675
20220722;18;22650;22455,938
20220722;19;22350;22178,375
20220722;20;22300;21893,575
20220722;21;22100;21700,625
20220722;22;21850;21399,875
20220722;23;20950;20214,950
20220722;24;19400;18760,638
20220723;1;18100;17475,675
20220723;2;17150;16630,525
20220723;3;16600;16114,900
20220723;4;16350;15948,488
20220723;5;15750;15579,000
20220723;6;15750;15331,700
20220723;7;17450;16173,575
20220723;8;18750;17540,525
20220723;9;19800;18795,750
20220723;10;20100;19607,838
20220723;11;20400;19856,763
20220723;12;20400;20096,638
20220723;13;20450;20086,013
20220723;14;20500;19834,750
20220723;15;20250;19653,200
20220723;16;20000;19547,613
20220723;17;19800;19529,863
20220723;18;19650;19112,150
20220723;19;19500;19019,675
20220723;20;19500;18600,950
20220723;21;19300;18444,875
20220723;22;19200;18389,275
20220723;23;18750;17542,988
20220723;24;17500;16218,538
20220724;1;15700;15101,263
20220724;2;14800;14588,675
20220724;3;14300;14148,763
20220724;4;13900;14018,563
20220724;5;13600;13654,013
20220724;6;13300;13298,375
20220724;7;14150;13592,150
20220724;8;15100;14370,650
20220724;9;16050;15160,188
20220724;10;16900;15831,263
20220724;11;17250;16013,588
20220724;12;17300;16397,713
20220724;13;17300;16598,938
20220724;14;17300;16605,488
20220724;15;17150;16397,913
20220724;16;17100;16355,238
20220724;17;17150;16259,413
20220724;18;17450;16481,400
20220724;19;17650;16857,813
20220724;20;17700;17183,438
20220724;21;17800;17326,063
20220724;22;18100;17673,538
20220724;23;18150;17151,425
20220724;24;17000;16071,363
20220725;1;14838;14945,950
20220725;2;14371;14397,200
20220725;3;14108;14072,388
20220725;4;13988;14034,775
20220725;5;13992;14141,938
20220725;6;14888;14555,488
20220725;7;17754;16865,813
20220725;8;20236;19228,588
20220725;9;21958;20648,338
20220725;10;22379;21213,225
20220725;11;22470;21167,088
20220725;12;22707;21343,438
20220725;13;22893;21482,075
20220725;14;22715;21372,950
20220725;15;22577;21132,925
20220725;16;22358;21510,938
20220725;17;22227;21496,150
20220725;18;22207;21460,838
20220725;19;21996;21340,925
20220725;20;22079;21309,663
20220725;21;21924;21235,588
20220725;22;21374;21094,375
20220725;23;20236;19668,613
20220725;24;18690;18078,000
20220726;1;16973;16935,688
20220726;2;16376;16385,725
20220726;3;16095;16006,575
20220726;4;15978;15865,400
20220726;5;15791;15787,025
20220726;6;16171;16083,575
20220726;7;18614;18039,550
20220726;8;20576;19866,613
20220726;9;21391;21012,750
20220726;10;21543;21709,200
20220726;11;22083;21545,488
20220726;12;22190;21923,813
20220726;13;22258;22252,475
